readsite,tagsite,distance_km
tucson_6_F,huachuca_3_F,141.8436434
coronado,huachuca_3_F,5.385009659
huachuca_2_F,huachuca_3_F,8.610328301
huachuca_3_F,huachuca_3_F,0
huachuca_4_F,huachuca_3_F,35.1837249
organ_pipe,huachuca_3_F,251.8706359
rincon,huachuca_3_F,97.33165849
big_hatchet,huachuca_3_F,174.1643872
silver_city_2_F,huachuca_3_F,249.2231882
peloncillo_1_F,huachuca_3_F,124.6968755
silver_city_1_F,huachuca_3_F,243.2219505
silver_city_3_F,huachuca_3_F,241.8120487
fort_huachuca,huachuca_3_F,28.31561381
chiricahua_1_F,huachuca_3_F,107.6200071
chiricahua_2_F,huachuca_3_F,111.8871693
huachuca_5_F,huachuca_3_F,10.64681771
silver_city_4_F,huachuca_3_F,224.1064915
cdmx_1_F,huachuca_3_F,1323.057048
cdmx_3_F,huachuca_3_F,1339.744596
cdmx_2_F,huachuca_3_F,1339.200237
azedon,huachuca_3_F,805.9976955
carmen,huachuca_3_F,600.7257243
chivato,huachuca_3_F,812.920365
gitana,huachuca_3_F,812.2681165
la_capilla,huachuca_3_F,861.6745303
las_cuevas,huachuca_3_F,871.4126732
pinacate,huachuca_3_F,310.38613
juxtlahuaca,huachuca_3_F,1906.339509
navachiste,huachuca_3_F,662.02692
atoyac,huachuca_3_F,1429.978825
mariana,huachuca_3_F,205.9667053
organ_pipe_1_h2o,huachuca_3_F,247.2953647
organ_pipe_2_h2o,huachuca_3_F,262.3995373
organ_pipe_satellite,huachuca_3_F,256.3788128
organ_pipe_3_h2o,huachuca_3_F,246.7798474
don_panchito,huachuca_3_F,1409.830105
tucson_1_F,huachuca_4_F,83.39786278
tucson_2_F,huachuca_4_F,68.12089649
tucson_3_F,huachuca_4_F,80.61138235
tucson_4_F,huachuca_4_F,83.36660296
huachuca_1_F,huachuca_4_F,31.40998694
tucson_5_F,huachuca_4_F,89.9151375
tucson_6_F,huachuca_4_F,107.0805059
coronado,huachuca_4_F,34.62319204
